record_id,source_row,historical_owner_original,historical_owner_id,activity_user_ids,ownership_status,was_inferred,inference_rule
1,2,,,[],no_activity,False,one_distinct_activity_user; duplicate_record_id_blocks_inference
2,3,,,[],no_activity,False,one_distinct_activity_user; duplicate_record_id_blocks_inference
3,4,,,[],no_activity,False,one_distinct_activity_user; duplicate_record_id_blocks_inference
4,5,,,[],no_activity,False,one_distinct_activity_user; duplicate_record_id_blocks_inference
5,6,,,[],no_activity,False,one_distinct_activity_user; duplicate_record_id_blocks_inference
6,7,,,[],no_activity,False,one_distinct_activity_user; duplicate_record_id_blocks_inference
7,8,,,[],no_activity,False,one_distinct_activity_user; duplicate_record_id_blocks_inference
8,9,,,[],no_activity,False,one_distinct_activity_user; duplicate_record_id_blocks_inference
9,10,,,[],no_activity,False,one_distinct_activity_user; duplicate_record_id_blocks_inference
10,11,,,[],no_activity,False,one_distinct_activity_user; duplicate_record_id_blocks_inference
11,12,,,[],no_activity,False,one_distinct_activity_user; duplicate_record_id_blocks_inference
12,13,,,[],no_activity,False,one_distinct_activity_user; duplicate_record_id_blocks_inference
13,14,,,[],no_activity,False,one_distinct_activity_user; duplicate_record_id_blocks_inference
14,15,,,[],no_activity,False,one_distinct_activity_user; duplicate_record_id_blocks_inference
15,16,,,[],no_activity,False,one_distinct_activity_user; duplicate_record_id_blocks_inference
16,17,,,[],no_activity,False,one_distinct_activity_user; duplicate_record_id_blocks_inference
17,18,,,[],no_activity,False,one_distinct_activity_user; duplicate_record_id_blocks_inference
18,19,,,[],no_activity,False,one_distinct_activity_user; duplicate_record_id_blocks_inference
19,20,,,[],no_activity,False,one_distinct_activity_user; duplicate_record_id_blocks_inference
20,21,,,[],no_activity,False,one_distinct_activity_user; duplicate_record_id_blocks_inference
21,22,,,[],no_activity,False,one_distinct_activity_user; duplicate_record_id_blocks_inference
22,23,,,[],no_activity,False,one_distinct_activity_user; duplicate_record_id_blocks_inference
23,24,,,[],no_activity,False,one_distinct_activity_user; duplicate_record_id_blocks_inference
24,25,,,[],no_activity,False,one_distinct_activity_user; duplicate_record_id_blocks_inference
25,26,,,[],no_activity,False,one_distinct_activity_user; duplicate_record_id_blocks_inference
26,27,,,[],no_activity,False,one_distinct_activity_user; duplicate_record_id_blocks_inference
27,28,,,[],no_activity,False,one_distinct_activity_user; duplicate_record_id_blocks_inference
28,29,,,[],no_activity,False,one_distinct_activity_user; duplicate_record_id_blocks_inference
29,30,,,[],no_activity,False,one_distinct_activity_user; duplicate_record_id_blocks_inference
30,31,,,[],no_activity,False,one_distinct_activity_user; duplicate_record_id_blocks_inference
31,32,,,[],no_activity,False,one_distinct_activity_user; duplicate_record_id_blocks_inference
32,33,,,[],no_activity,False,one_distinct_activity_user; duplicate_record_id_blocks_inference
33,34,,,[],no_activity,False,one_distinct_activity_user; duplicate_record_id_blocks_inference
34,35,,,[],no_activity,False,one_distinct_activity_user; duplicate_record_id_blocks_inference
35,36,,,[],no_activity,False,one_distinct_activity_user; duplicate_record_id_blocks_inference
36,37,,,[],no_activity,False,one_distinct_activity_user; duplicate_record_id_blocks_inference
37,38,,,[],no_activity,False,one_distinct_activity_user; duplicate_record_id_blocks_inference
38,39,,,[],no_activity,False,one_distinct_activity_user; duplicate_record_id_blocks_inference
39,40,,,[],no_activity,False,one_distinct_activity_user; duplicate_record_id_blocks_inference
40,41,,,[],no_activity,False,one_distinct_activity_user; duplicate_record_id_blocks_inference
41,42,,,[],no_activity,False,one_distinct_activity_user; duplicate_record_id_blocks_inference
42,43,,,[],no_activity,False,one_distinct_activity_user; duplicate_record_id_blocks_inference
43,44,,,[],no_activity,False,one_distinct_activity_user; duplicate_record_id_blocks_inference
44,45,,,[],no_activity,False,one_distinct_activity_user; duplicate_record_id_blocks_inference
45,46,,,[],no_activity,False,one_distinct_activity_user; duplicate_record_id_blocks_inference
46,47,,,[],no_activity,False,one_distinct_activity_user; duplicate_record_id_blocks_inference
47,48,,,[],no_activity,False,one_distinct_activity_user; duplicate_record_id_blocks_inference
48,49,,,[],no_activity,False,one_distinct_activity_user; duplicate_record_id_blocks_inference
